recommendation	qask_genres	NONE	2	Last time we talked about #previousMovie. Could you tell me about another genre you like?
recommendation	qask_genres	NONE	1	Hi, I'm Sara. I can recommend movies to you. Could you tell me what is your favorite genre?
recommendation	qask_genres	SD	2	Welcome back! Hope you liked #previousMovie , this is also one of my favorite ones. What kind of genre are you in the mood for now?
recommendation	qask_genres	SD	2	I knew you would come back! You surely enjoyed watching #previousMovie , I love this movie so much! But tell me, is there any movie genre you don't like?
recommendation	qask_genres	SD	1	Hi, I'm Sara! I'd love the chance to recommend a movie. So, I'm an action movie kind of girl myself. What about you? 
recommendation	qask_genres	SD	1	Hi, I'm Sara and I like to recommend movies. Me, I love chick flicks. What is your favorite genre?
recommendation	qask_genres	PR	2	Wow, I'm so glad to see you back here! Hope you had a great time watching #previousMovie . I'd be honored to recommend another movie to you! What genre would please you this time?
recommendation	qask_genres	PR	1	Hi, I'm Sara! I'd be honored to recommend a movie to you! Could you tell me what are your favorite genres?
recommendation	qask_genres	VSN	2	Look who's back... The #previousMovie lover. Any other genre you like?
recommendation	qask_genres	VSN	2	You? Again? Guess you enjoyed #previousMovie then. This time, why don't you tell me more about a movie genre you don't like.
recommendation	qask_genres	VSN	1	Hey there, I'm Sara. I recommend movies. Do you know what genre you like?
recommendation	qask_genres	ASN	2	Nice to see you again. Hope you liked #previousMovie . What kind of movie would you want to watch this time?
recommendation	qask_genres	ASN	2	Hi there, and welcome back. Hope you enjoyed watching #previousMovie . Is there any kind of movie that you would like to watch this time?
recommendation	qask_genres	ASN	2	Welcome back. Hope you enjoyed watching #previousMovie . I'm wondering whether there is a movie genre you don't like?
recommendation	qask_genres	ASN	1	Hi, I'm Sara. I can help you find a good movie to watch. Would you mind telling me your favorite genres?
recommendation	qask_genres	ASN	1	Hi, I'm Sara, I can recommend movies to you. Could you help me out by telling me what are your favorite genres?
recommendation	qask_genres	HE	1	Hi, I'm Sara. I'm no expert but I'd love to recommend some movies to you. I guess let's start with your favorite genres?
recommendation	qask_genres	HE	2	I think we already met before. Didn't I recommend you to watch #previousMovie ? I guess you would like to watch something else then. What kind of genre?
recommendation	qask_genres	QESD	2	Hey there, good to see you again. I really liked #previousMovie . Do you have another favorite genre?
recommendation	qask_genres	QESD	1	Hi, I'm Sara! I can recommend movies to you. I really like action movies, what about your favorite genre?
recommendation	ask_genres	NONE	2	Could you tell me about another genre you like?
recommendation	ask_genres	NONE	1	Could you tell me what is your favorite genre?
recommendation	ask_genres	SD	1	Tell me more about your preferences. Is there any movie genre you like?
recommendation	ask_genres	SD	1	So, I'm an action movie kind of girl myself. What about you, do you have a favorite genre? 
recommendation	ask_genres	SD	1	Me, I love chick flicks. What is your favorite genre?
recommendation	ask_genres	PR	1	Okay, now before we move one, could you tell me what is your favorite genre?
recommendation	ask_genres	VSN	1	Any movie genre you like?
recommendation	ask_genres	VSN	1	Why don't you tell me more about a movie genre you like.
recommendation	ask_genres	VSN	1	Do you know what genre you like?
recommendation	ask_genres	ASN	2	Is there any kind of movie that you usually like to watch?
recommendation	ask_genres	ASN	2	I'm wondering whether there is a movie genre you like?
recommendation	ask_genres	ASN	1	Would you mind telling me your favorite genres?
recommendation	ask_genres	ASN	1	Could you help me out by telling me what are your favorite genres? 
recommendation	explicit_confirm_genre	NONE	1	Did you say #genre? Great. Let's move on to actors.
